2014/03/09 15:27:28.421477 logger.go:87: ========== New log ==========
2014/03/09 15:27:28.422160 logger.go:94: ERROR:  NETCONTROLLER  :  Error finding local IP
2014/03/09 15:27:45.792999 logger.go:94: ERROR:    :  Catched a killsignal:, interrupt
2014/03/09 15:27:46.426663 logger.go:94: ERROR:    :  Catched a killsignal:, interrupt
2014/03/09 15:27:46.591767 logger.go:94: ERROR:    :  Catched a killsignal:, interrupt
2014/03/09 15:27:46.740873 logger.go:94: ERROR:    :  Catched a killsignal:, interrupt
2014/03/09 15:27:46.916533 logger.go:94: ERROR:    :  Catched a killsignal:, interrupt
2014/03/09 15:27:47.054878 logger.go:94: ERROR:    :  Catched a killsignal:, interrupt
2014/03/09 15:27:47.203894 logger.go:94: ERROR:    :  Catched a killsignal:, interrupt
2014/03/09 15:27:53.245719 logger.go:94: ERROR:    :  Catched a killsignal:, interrupt
2014/03/09 15:27:53.410501 logger.go:94: ERROR:    :  Catched a killsignal:, interrupt
2014/03/09 15:27:53.554217 logger.go:94: ERROR:    :  Catched a killsignal:, interrupt
2014/03/09 15:27:53.719206 logger.go:94: ERROR:    :  Catched a killsignal:, interrupt
